Treat,Rep,Block,Day,IniTopAd,IniTopNym,IniBotAd,IniBotNym,Adtot,Nymtot,Poptot,Popred,divmeans,popDt
HCHC,2,2,6,20,28,2,5,4,85,89,242,116.0833333,-0.233309404
HCC7,2,2,6,19,19,1,14,1,35,36,295,120.2083333,-0.700519931
HCPT,2,2,6,17,22,2,16,9,213,222,109,204.3108974,0.08657934
C7C7,2,2,6,17,18,6,25,2,98,100,231,124.3333333,-0.195710456
C7PT,2,2,6,18,32,3,8,10,173,183,148,208.4358974,-0.12203223
PTPT,2,2,6,17,22,5,12,16,264,280,51,292.5384615,-0.042860899
C,3,2,6,20,25,3,14,14,293,307,24,353.75,-0.132155477
HCHC,3,2,6,18,31,4,15,11,126,137,194,116.0833333,0.180186648
HCC7,3,2,6,21,22,1,7,1,78,79,252,120.2083333,-0.342807625
HCPT,3,2,6,20,33,1,5,12,175,187,144,204.3108974,-0.084728214
C7C7,3,2,6,14,22,5,24,1,90,91,240,124.3333333,-0.268096515
C7PT,3,2,6,14,39,10,17,10,31,41,290,208.4358974,-0.803296838
PTPT,3,2,6,18,26,3,9,9,280,289,42,292.5384615,-0.012095714
C,4,2,6,17,18,5,7,10,209,219,112,353.75,-0.380918728
HCHC,4,2,6,20,26,4,8,3,125,128,203,116.0833333,0.102656138
HCC7,4,2,6,20,22,2,9,4,93,97,234,120.2083333,-0.193067591
HCPT,4,2,6,12,22,9,23,7,152,159,172,204.3108974,-0.221774257
C7C7,4,2,6,16,26,4,11,0,13,13,318,124.3333333,-0.895442359
C7PT,4,2,6,17,35,3,12,1,23,24,307,208.4358974,-0.884856686
PTPT,4,2,6,22,37,1,6,5,31,36,295,292.5384615,-0.876939258
C,5,2,6,22,25,3,11,16,341,357,-26,353.75,0.009187279
HCHC,5,2,6,19,28,3,9,3,90,93,238,116.0833333,-0.1988514
HCC7,5,2,6,19,18,5,5,1,12,13,318,120.2083333,-0.891854419
HCPT,5,2,6,20,24,3,11,10,230,240,91,204.3108974,0.174680367
C7C7,5,2,6,21,27,3,9,4,161,165,166,124.3333333,0.327077748
C7PT,5,2,6,20,25,1,0,2,46,48,283,208.4358974,-0.769713372
PTPT,5,2,6,21,43,3,1,18,309,327,4,292.5384615,0.117801735
C,6,2,6,20,30,4,13,10,286,296,35,353.75,-0.163250883
HCHC,6,2,6,24,67,1,6,1,17,18,313,116.0833333,-0.844938981
HCC7,6,2,6,16,28,8,35,4,75,79,252,120.2083333,-0.342807625
HCPT,6,2,6,21,40,2,16,10,271,281,50,204.3108974,0.37535493
C7C7,6,2,6,20,11,3,10,0,21,21,310,124.3333333,-0.831099196
C7PT,6,2,6,19,25,3,2,0,14,14,317,208.4358974,-0.932833067
PTPT,6,2,6,21,23,4,21,13,390,403,-72,292.5384615,0.377596634
C7PT,7,2,6,22,14,1,11,6,37,43,288,208.4358974,-0.793701562
PTPT,7,2,6,24,25,1,12,20,247,267,64,292.5384615,-0.0872995
HCPT,7,2,6,19,15,4,8,7,191,198,133,204.3108974,-0.030888697
