Treat,Rep,Block,Day,IniTopAd,IniTopNym,IniBotAd,IniBotNym,A1TopAd,A1TopNym,A1BotAd,A1BotNym,A2TopAd,A2TopNym,A2BotAd,A2BotNym,A3TopAd,A3TopNym,A3BotAd,A3BotNym,B1TopAd,B1TopNym,B1BotAd,B1BotNym,B2TopAd,B2TopNym,B2BotAd,B2BotNym,B3TopAd,B3TopNym,B3BotAd,B3BotNym,C1TopAd,C1TopNym,C1BotAd,C1BotNym,C2TopAd,C2TopNym,C2BotAd,C2BotNym,C3TopAd,C3TopNym,C3BotAd,C3BotNym,Adtot,Nymtot,Poptot,IGR,Popred,propcol,nymchange,adjrepro,adtop,nymtop,addist,nymdist,centtot,centprop
PTPT,3,1,4,10,33,11,40,0,0,0,4,3,6,0,1,1,1,1,4,3,32,0,5,0,52,0,38,0,0,0,0,2,16,0,5,2,23,0,0,0,7,1,8,13,202,215,9.619047619,36.16666,0.888888889,54,4.153846154,0.846153846,0.678217822,23.18461538,12.93366337,90,0.418604651
C,4,1,4,12,31,11,42,1,5,0,0,0,17,0,0,3,8,0,9,2,0,0,0,2,60,0,8,0,0,0,0,0,0,1,7,2,11,0,2,2,20,0,4,13,151,164,6.565217391,87.16666,0.888888889,46,3.538461538,0.923076923,0.801324503,21.38153846,13.89960265,70,0.426829268
HCHC,4,1,4,12,15,10,21,1,0,0,0,1,12,0,2,0,0,0,1,0,0,0,0,0,38,0,4,0,2,0,0,1,1,0,0,1,4,0,1,0,0,0,0,4,65,69,2.954545455,173.16666,0.777777778,-7,-1.75,1,0.876923077,24.14,7.331692308,42,0.608695652
HCC7,4,1,4,15,20,8,32,0,2,0,0,0,5,0,0,1,5,1,1,0,0,0,0,0,8,0,0,1,6,0,0,1,12,0,0,1,0,0,0,1,13,0,0,6,52,58,2.260869565,186.16666,0.888888889,-22,-3.666666667,0.833333333,0.980769231,25.52,22.17769231,8,0.137931034
HCPT,4,1,4,16,22,9,41,2,6,0,3,0,0,1,16,0,1,0,5,1,6,0,4,0,53,0,18,0,15,0,5,4,8,0,3,0,0,0,0,3,12,0,0,11,155,166,6.2,83.16666,0.888888889,46,4.181818182,0.909090909,0.651612903,26.77454545,12.86864516,71,0.427710843
C7C7,4,1,4,12,32,11,35,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,19,0,0,0,5,0,0,1,4,0,0,0,0,0,0,0,21,0,0,1,58,59,2.52173913,180.16666,0.666666667,-43,-43,1,0.982758621,28.28,17.44551724,19,0.322033898
C7PT,4,1,4,14,22,11,27,1,4,0,0,0,30,0,0,3,5,0,0,2,26,0,0,1,56,0,10,0,0,0,0,0,5,0,0,0,2,0,0,0,14,0,0,7,152,159,6.08,86.16666,0.888888889,-1,-0.142857143,1,0.934210526,21.87428571,12.84105263,67,0.421383648
PTPT,4,1,4,7,22,11,22,1,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,43,0,0,1,5,0,2,1,8,0,1,0,2,0,0,2,16,0,1,6,85,91,4.722222222,153.16666,0.777777778,24,4,1,0.894117647,22.18666667,13.09694118,44,0.483516484
C,5,1,4,13,31,9,21,1,13,1,1,1,1,0,1,4,1,0,2,4,19,0,5,2,78,0,24,0,0,0,0,3,5,0,0,3,15,7,19,1,10,0,0,27,194,221,8.818181818,44.16666,0.888888889,49,1.814814815,0.703703704,0.731958763,21.58518519,10.85030928,104,0.470588235
HCHC,5,1,4,14,20,12,44,1,0,3,5,0,0,0,6,1,1,0,14,3,4,0,1,2,40,0,19,0,0,0,10,0,0,0,21,2,1,0,2,1,26,0,1,13,151,164,5.807692308,87.16666,1,-24,-1.846153846,0.769230769,0.476821192,20.74461538,15.91417219,61,0.37195122
HCC7,5,1,4,16,17,12,40,1,0,0,7,1,8,0,3,1,1,0,5,1,1,0,4,1,50,0,0,3,21,0,18,7,0,0,0,1,6,0,1,0,1,0,3,16,129,145,4.607142857,109.16666,1,41,2.5625,1,0.682170543,23.4075,13.33922481,51,0.351724138
HCPT,5,1,4,12,36,10,30,0,2,0,0,1,3,0,4,0,0,0,1,0,0,0,0,0,47,0,45,1,3,0,3,1,2,0,0,0,0,0,0,0,7,0,4,3,121,124,5.5,117.16666,0.777777778,-10,-3.333333333,1,0.52892562,22.76,5.888264463,92,0.741935484
C7C7,5,1,4,15,20,7,60,6,8,0,0,0,1,0,5,2,28,0,0,0,0,0,2,0,75,0,4,0,0,0,0,0,3,0,1,0,2,0,0,2,16,0,0,10,145,155,6.590909091,93.16666,0.888888889,-8,-0.8,1,0.917241379,28.28,12.30124138,79,0.509677419
C7PT,5,1,4,10,13,7,38,4,9,0,0,2,13,0,0,0,3,0,1,1,2,0,0,0,50,0,6,0,0,0,0,0,4,0,0,1,4,1,3,2,13,0,5,11,113,124,6.647058824,125.16666,0.888888889,2,0.181818182,0.909090909,0.867256637,24.51636364,12.65309735,56,0.451612903
