"","Treat","HC","C7","PT","Rep","Block","Day","Adtot","Nymtot","Poptot","propcol","adtop","nymtop","addist","nymdist","centtot","centprop","totinf","propinf"
"111","Control",0,0,0,6,1,6,15,409,424,1,0.866666667,0.640586797,23.63466667,17.42503667,117,0.275943396,3,0.333333333333333
"112","HCHC",2,0,0,6,1,6,0,105,105,0.888888889,NA,0.961904762,NA,5.531047619,83,0.79047619,7,0.777777777777778
"113","C7C7",0,2,0,6,1,6,9,142,151,0.666666667,1,0.929577465,10.72888889,14.87746479,60,0.397350993,7,0.777777777777778
"114","PTPT",0,0,2,6,1,6,11,269,280,1,0.818181818,0.82527881,21.94545455,15.16386617,112,0.4,7,0.777777777777778
"115","Control",0,0,0,1,2,2,22,147,169,0.777777778,0.772727273,0.632653061,13.54363636,3.692517007,134,0.792899408,8,0.888888888888889
"116","HCHC",2,0,0,1,2,2,19,93,112,1,0.947368421,0.989247312,17.35157895,18.20688172,27,0.241071429,9,1
"117","HCC7",1,1,0,1,2,2,9,87,96,0.666666667,1,0.988505747,27.36,7.309425287,61,0.635416667,8,0.888888888888889
"118","HCPT",1,0,1,1,2,2,15,75,90,0.888888889,0.933333333,0.853333333,14.208,12.87466667,41,0.455555556,8,0.888888888888889
"119","C7PT",0,1,1,1,2,2,17,72,89,0.555555556,1,1,11.64470588,0.785555556,80,0.898876404,8,0.888888888888889
"120","PTPT",0,0,2,1,2,2,21,113,134,0.777777778,0.904761905,0.911504425,14.18857143,8.319646018,87,0.649253731,9,1
"121","Control",0,0,0,2,2,2,22,131,153,0.888888889,0.772727273,0.916030534,17.02363636,7.207633588,97,0.633986928,9,1
"122","HCHC",2,0,0,2,2,2,11,64,75,0.777777778,0.818181818,0.96875,19.81454545,9.181875,43,0.573333333,7,0.777777777777778
"123","HCC7",1,1,0,2,2,2,7,31,38,0.666666667,0.857142857,0.870967742,25.91428571,8.054193548,21,0.552631579,8,0.888888888888889
"124","HCPT",1,0,1,2,2,2,12,96,108,0.666666667,1,0.90625,9.713333333,1.544583333,96,0.888888889,9,1
"125","C7C7",0,2,0,2,2,2,16,94,110,0.777777778,1,1,18.105,6.464255319,73,0.663636364,8,0.888888888888889
"126","C7PT",0,1,1,2,2,2,22,119,141,0.333333333,1,0.907563025,4.389090909,2.127058824,126,0.893617021,7,0.777777777777778
"127","PTPT",0,0,2,2,2,2,20,120,140,0.888888889,0.9,0.775,13.484,1.373666667,122,0.871428571,8,0.888888888888889
"128","Control",0,0,0,3,2,2,16,174,190,0.888888889,0.875,0.867816092,14.355,7.348965517,127,0.668421053,8,0.888888888888889
"129","HCHC",2,0,0,3,2,2,14,84,98,0.777777778,0.928571429,0.976190476,13.20285714,5.788571429,69,0.704081633,8,0.888888888888889
"130","HCC7",1,1,0,3,2,2,15,71,86,0.777777778,0.733333333,0.957746479,16.64533333,7.198309859,55,0.639534884,2,0.222222222222222
"131","HCPT",1,0,1,3,2,2,18,105,123,1,0.888888889,0.923809524,14.98222222,6.641142857,85,0.691056911,7,0.777777777777778
"132","C7C7",0,2,0,3,2,2,17,97,114,0.666666667,0.941176471,0.979381443,6.369411765,4.173608247,90,0.789473684,9,1
"133","C7PT",0,1,1,3,2,2,14,79,93,0.555555556,0.928571429,0.974683544,11.18285714,1.981772152,79,0.849462366,6,0.666666666666667
"134","PTPT",0,0,2,3,2,2,20,141,161,0.777777778,0.95,0.758865248,9.07,4.52,130,0.807453416,8,0.888888888888889
"135","Control",0,0,0,4,2,2,20,110,130,0.666666667,0.65,0.854545455,8.242,1.348,116,0.892307692,9,1
"136","HCHC",2,0,0,4,2,2,15,88,103,0.555555556,0.8,0.795454545,7.218666667,1.363636364,92,0.893203883,9,1
"137","HCC7",1,1,0,4,2,2,17,82,99,0.888888889,0.823529412,0.853658537,17.04,13.71902439,44,0.444444444,8,0.888888888888889
"138","HCPT",1,0,1,4,2,2,16,115,131,0.888888889,1,0.87826087,9.0525,6.950956522,90,0.687022901,5,0.555555555555556
"139","C7C7",0,2,0,4,2,2,8,23,31,0.777777778,1,1,26.21,25.4,0,0,9,1
"140","C7PT",0,1,1,4,2,2,5,18,23,0.666666667,1,1,24.968,24.21777778,2,0.086956522,7,0.777777777777778
"141","PTPT",0,0,2,4,2,2,18,94,112,1,0.611111111,0.585106383,20.53777778,17.24340426,34,0.303571429,9,1
"142","Control",0,0,0,5,2,2,22,147,169,0.888888889,0.954545455,0.789115646,6.96,3.397006803,143,0.846153846,7,0.777777777777778
